county_fips,state_po,name,year,Less than a high school diploma,High school diploma only,Some college or associate's degree,Bachelor's degree or higher,Percent of adults with less than a high school diploma,Percent of adults with a high school diploma only,Percent of adults completing some college or associate's degree,Percent of adults with a bachelor's degree or higher
0,US,United States,1970,52373312,34158051,11650730,11717266,47.7,31.1,10.6,10.7
0,US,United States,1980,44535197,45947035,20794975,21558480,33.5,34.6,15.7,16.2
0,US,United States,1990,39343718,47642763,39571702,32310253,24.8,30,24.9,20.3
0,US,United States,2000,35715625,52168981,49864428,44462605,19.6,28.6,27.4,24.4
0,US,United States,2008-12,29179819,57706852,59244324,58205022,14.28031114,28.24115535,28.99357875,28.48495476
0,US,United States,2018-22,24599698,59741825,64508122,77751347,10.855953360000001,26.36432633,28.46771386,34.31200645
1000,AL,Alabama,1970,1062306,468269,136287,141936,58.7,25.9,7.5,7.8
1000,AL,Alabama,1980,964840,704207,278205,270063,43.5,31.8,12.5,12.2
1000,AL,Alabama,1990,843638,749591,553512,399228,33.1,29.4,21.7,15.7
1000,AL,Alabama,2000,714081,877216,746495,549608,24.7,30.4,25.9,19
1000,AL,Alabama,2008-12,551030,991406,918987,705001,17.40228093,31.30995723,29.02286617,22.26489567
1000,AL,Alabama,2018-22,421180,1041725,1032770,932845,12.28460094,30.38410159,30.12291018,27.20838729
1001,AL,Autauga County,1970,6611,3757,933,767,54.8,31.1,7.7,6.4
1001,AL,Autauga County,1980,7074,6145,2104,2117,40.6,35.2,12.1,12.1
1001,AL,Autauga County,1990,6252,6671,4912,3026,30,32,23.5,14.5
1001,AL,Autauga County,2000,5872,9332,7413,4972,21.3,33.8,26.9,18
1001,AL,Autauga County,2008-12,5232,11874,10409,7629,14.88732074,33.78670612,29.6181425,21.70783064
1001,AL,Autauga County,2018-22,3857,12517,11935,11879,9.597392256,31.14611327,29.69791978,29.5585747
1003,AL,Baldwin County,1970,18726,8426,2334,2038,59.4,26.7,7.4,6.5
1003,AL,Baldwin County,1980,18125,15380,6602,5498,39.7,33.7,14.5,12.1
1003,AL,Baldwin County,1990,17309,20544,15900,10870,26.8,31.8,24.6,16.8
1003,AL,Baldwin County,2000,17258,28428,28178,22146,18,29.6,29.3,23.1
1003,AL,Baldwin County,2008-12,14792,36675,40497,35307,11.62244345,28.81646251,31.81950326,27.74159078
1003,AL,Baldwin County,2018-22,14031,46391,52215,54385,8.400689729,27.77538288,31.26234867,32.56157871
1005,AL,Barbour County,1970,8120,2242,581,861,68.8,19,4.9,7.3
1005,AL,Barbour County,1980,7759,3671,1362,1300,55.1,26.1,9.7,9.2
1005,AL,Barbour County,1990,6965,4258,2622,1857,44.4,27.1,16.7,11.8
1005,AL,Barbour County,2000,6679,6124,4025,2068,35.3,32.4,21.3,10.9
1005,AL,Barbour County,2008-12,5013,6320,4892,2757,26.4092298,33.29470024,25.7717838,14.52428617
1005,AL,Barbour County,2018-22,4155,6507,4913,2100,23.50777935,36.81471004,27.79632249,11.88118812
1007,AL,Bibb County,1970,5272,1402,238,302,73.1,19.4,3.3,4.2
1007,AL,Bibb County,1980,5254,2611,536,433,59.5,29.6,6.1,4.9
1007,AL,Bibb County,1990,4850,3407,1332,476,48.2,33.8,13.2,4.7
1007,AL,Bibb County,2000,4984,4838,2756,962,36.8,35.7,20.4,7.1
1007,AL,Bibb County,2008-12,3702,6457,3963,1396,23.85616703,41.60974352,25.5380848,8.99600464
1007,AL,Bibb County,2018-22,3366,6510,4310,1739,21.13657771,40.87912088,27.06436421,10.91993721
1009,AL,Blount County,1970,10677,3440,626,404,70.5,22.7,4.1,2.7
1009,AL,Blount County,1980,11666,7011,1819,1144,53.9,32.4,8.4,5.3
1009,AL,Blount County,1990,9960,8763,4745,1773,39.5,34.7,18.8,7
1009,AL,Blount County,2000,9960,12136,8371,3235,29.6,36,24.8,9.6
1009,AL,Blount County,2008-12,9419,13994,10498,4792,24.33661473,36.15740382,27.12451231,12.38146914
1009,AL,Blount County,2018-22,7447,14414,12939,6017,18.24484896,35.31371732,31.70002695,14.74140677
1011,AL,Bullock County,1970,4245,958,305,314,72.9,16.5,5.2,5.4
1011,AL,Bullock County,1980,3473,1324,574,516,59,22.5,9.8,8.8
1011,AL,Bullock County,1990,3428,1669,954,676,51,24.8,14.2,10
1011,AL,Bullock County,2000,2992,2667,1325,586,39.5,35.2,17.5,7.7
1011,AL,Bullock County,2008-12,2249,2729,1697,900,29.68976898,36.02640264,22.40264026,11.88118812
1011,AL,Bullock County,2018-22,1905,2957,1623,671,26.62101733,41.32196758,22.68026831,9.376746786
1013,AL,Butler County,1970,8353,2459,499,541,70.5,20.7,4.2,4.6
1013,AL,Butler County,1980,6929,3635,1016,1029,55,28.8,8.1,8.2
1013,AL,Butler County,1990,6374,3927,2106,1083,47.2,29.1,15.6,8
1013,AL,Butler County,2000,4439,4749,3146,1433,32.2,34.5,22.9,10.4
1013,AL,Butler County,2008-12,3341,5463,3465,1812,23.72700802,38.79696044,24.6076273,12.86840423
1013,AL,Butler County,2018-22,1646,6364,3525,1731,12.40765868,47.97225991,26.57168702,13.04839439
1015,AL,Calhoun County,1970,30535,13804,3823,3921,58.6,26.5,7.3,7.5
1015,AL,Calhoun County,1980,28268,21411,8449,7213,43.3,32.8,12.9,11
1015,AL,Calhoun County,1990,23633,21711,16835,10266,32.6,30,23.2,14.2
1015,AL,Calhoun County,2000,19318,23856,19576,11265,26.1,32.2,26.4,15.2
1015,AL,Calhoun County,2008-12,16603,26224,22932,12544,21.20352988,33.49041544,29.28623424,16.01982044
1015,AL,Calhoun County,2018-22,11783,27278,24752,15118,14.92822845,34.55929863,31.35903511,19.15343781
1017,AL,Chambers County,1970,13616,4816,927,847,67.4,23.8,4.6,4.2
1017,AL,Chambers County,1980,12616,6544,2238,1710,54.6,28.3,9.7,7.4
1017,AL,Chambers County,1990,10833,6749,3998,2101,45.7,28.5,16.9,8.9
1017,AL,Chambers County,2000,8778,7863,5517,2339,35.8,32.1,22.5,9.5
1017,AL,Chambers County,2008-12,6194,8277,6546,2604,26.22242919,35.04085348,27.71262859,11.02408873
1017,AL,Chambers County,2018-22,4087,9763,7710,3146,16.54254027,39.51671659,31.20699425,12.73374889
1019,AL,Cherokee County,1970,6126,1878,440,329,69.8,21.4,5,3.8
1019,AL,Cherokee County,1980,6372,3158,985,712,56.8,28.1,8.8,6.3
1019,AL,Cherokee County,1990,6030,4092,1966,866,46.5,31.6,15.2,6.7
1019,AL,Cherokee County,2000,6138,5865,3186,1636,36.5,34.9,18.9,9.7
1019,AL,Cherokee County,2008-12,4241,6206,5627,2429,22.92060747,33.54050694,30.41128466,13.12760093
1019,AL,Cherokee County,2018-22,3348,6678,5794,2703,18.07482589,36.0524753,31.28003023,14.59266857
1021,AL,Chilton County,1970,10285,2805,538,415,73.2,20,3.8,3
1021,AL,Chilton County,1980,9678,5578,1518,1158,54,31.1,8.5,6.5
1021,AL,Chilton County,1990,9023,6770,3438,1550,43.4,32.6,16.5,7.5
1021,AL,Chilton County,2000,8757,9264,5307,2574,33.8,35.8,20.5,9.9
1021,AL,Chilton County,2008-12,7023,11356,6958,3608,24.2632579,39.23302816,24.03869407,12.46501987
1021,AL,Chilton County,2018-22,5460,12737,8135,4277,17.83789082,41.6119442,26.57715051,13.97301447
1023,AL,Choctaw County,1970,5720,1922,378,362,68.2,22.9,4.5,4.3
1023,AL,Choctaw County,1980,5095,2695,777,640,55.3,29.3,8.4,7
1023,AL,Choctaw County,1990,4482,3070,1418,836,45.7,31.3,14.5,8.5
1023,AL,Choctaw County,2000,3704,3670,2182,1013,35,34.7,20.6,9.6
1023,AL,Choctaw County,2008-12,2488,3683,2298,1148,25.8708537,38.29676614,23.89518561,11.93719455
1023,AL,Choctaw County,2018-22,1594,3460,2817,1181,17.6093681,38.223597,31.12019443,13.04684048
1025,AL,Clarke County,1970,8459,3485,800,738,62.7,25.8,5.9,5.5
1025,AL,Clarke County,1980,7627,4596,1510,1344,50.6,30.5,10,8.9
1025,AL,Clarke County,1990,6471,5445,2614,1755,39.7,33.4,16.1,10.8
1025,AL,Clarke County,2000,5165,6667,3733,2137,29.2,37.7,21.1,12.1
1025,AL,Clarke County,2008-12,3716,7122,4190,2186,21.58708028,41.3733008,24.34065296,12.69896596
1025,AL,Clarke County,2018-22,2980,6569,4261,2205,18.60755542,41.01779582,26.60630659,13.76834218
1027,AL,Clay County,1970,4784,1719,345,311,66.8,24,4.8,4.3
1027,AL,Clay County,1980,4301,2583,690,479,53.4,32.1,8.6,5.9
1027,AL,Clay County,1990,3999,2692,1340,628,46.2,31.1,15.5,7.3
1027,AL,Clay County,2000,3322,3690,1992,763,34,37.8,20.4,7.8
1027,AL,Clay County,2008-12,2499,3696,2622,856,25.83479789,38.20944898,27.10637858,8.849374548
1027,AL,Clay County,2018-22,1675,3761,3334,1283,16.66169303,37.4117179,33.16422958,12.76235949
1029,AL,Cleburne County,1970,4431,1198,272,162,73.1,19.8,4.5,2.7
1029,AL,Cleburne County,1980,4578,2031,385,431,61.7,27.4,5.2,5.8
1029,AL,Cleburne County,1990,4068,2394,1110,529,50.2,29.6,13.7,6.5
1029,AL,Cleburne County,2000,3536,3417,1701,879,37.1,35.8,17.8,9.2
1029,AL,Cleburne County,2008-12,2622,3871,2716,964,25.77410793,38.05170549,26.69812248,9.476064091
1029,AL,Cleburne County,2018-22,1855,4145,2877,1753,17.45061148,38.99341486,27.06491063,16.49106303
1031,AL,Coffee County,1970,10790,4861,1332,1040,59.9,27,7.4,5.8
1031,AL,Coffee County,1980,9836,6696,3378,2766,43.4,29.5,14.9,12.2
1031,AL,Coffee County,1990,8522,6824,6354,4274,32.8,26.3,24.5,16.5
1031,AL,Coffee County,2000,7755,7571,7985,5574,26.8,26.2,27.6,19.3
1031,AL,Coffee County,2008-12,6092,9877,9897,7543,18.23460744,29.56388997,29.62375408,22.57774851
1031,AL,Coffee County,2018-22,4891,10581,13185,7899,13.37947259,28.94463289,36.06795054,21.60794398
1033,AL,Colbert County,1970,15050,7986,2151,1554,56.3,29.9,8,5.8
1033,AL,Colbert County,1980,14231,11210,3756,3034,44.2,34.8,11.7,9.4
1033,AL,Colbert County,1990,11952,11110,7293,3956,34.8,32.4,21.3,11.5
1033,AL,Colbert County,2000,9972,12665,9474,5273,26.7,33.9,25.3,14.1
1033,AL,Colbert County,2008-12,6289,13254,11550,6843,16.57792071,34.93778996,30.44601434,18.03827499
1033,AL,Colbert County,2018-22,5561,14960,12946,7368,13.61821966,36.63523938,31.70319579,18.04334517
1035,AL,Conecuh County,1970,5889,1709,332,342,71.2,20.7,4,4.1
1035,AL,Conecuh County,1980,5197,2569,714,556,57.5,28.4,7.9,6.2
1035,AL,Conecuh County,1990,4242,2927,1219,574,47.3,32.7,13.6,6.4
1035,AL,Conecuh County,2000,2984,3518,1877,851,32.3,38.1,20.3,9.2
1035,AL,Conecuh County,2008-12,2164,3681,2216,869,24.23292273,41.2206047,24.81522956,9.731243001
1035,AL,Conecuh County,2018-22,886,4046,2334,1116,10.57026963,48.2701026,27.84538296,13.31424481
1037,AL,Coosa County,1970,3983,1260,269,196,69.8,22.1,4.7,3.4
1037,AL,Coosa County,1980,3780,2100,529,237,56.9,31.6,8,3.6
1037,AL,Coosa County,1990,3315,2403,1010,456,46.1,33.4,14.1,6.3
1037,AL,Coosa County,2000,2831,3164,1597,663,34.3,38.3,19.3,8
1037,AL,Coosa County,2008-12,1974,3576,1816,787,24.21194652,43.8611554,22.27400957,9.652888507
1037,AL,Coosa County,2018-22,1329,3334,2530,856,16.51136787,41.42129457,31.43247608,10.63486147
1039,AL,Covington County,1970,13470,4333,1014,918,68.3,22,5.1,4.7
1039,AL,Covington County,1980,12771,6401,2108,1636,55.7,27.9,9.2,7.1
1039,AL,Covington County,1990,10288,6962,4642,2198,42.7,28.9,19.3,9.1
1039,AL,Covington County,2000,8115,8473,5975,3142,31.6,33,23.2,12.2
1039,AL,Covington County,2008-12,5936,8949,7718,3607,22.64784433,34.1434567,29.44677604,13.76192293
1039,AL,Covington County,2018-22,3767,9593,8774,4313,14.2435815,36.27254509,33.17578553,16.30808787
1041,AL,Crenshaw County,1970,5595,1295,385,296,73.9,17.1,5.1,3.9
1041,AL,Crenshaw County,1980,5285,2062,549,576,62.4,24.3,6.5,6.8
1041,AL,Crenshaw County,1990,4286,2444,1327,740,48.7,27.8,15.1,8.4
1041,AL,Crenshaw County,2000,3700,2689,1840,1039,39.9,29,19.9,11.2
1041,AL,Crenshaw County,2008-12,2245,3691,2496,1045,23.6889311,38.94692413,26.33744856,11.02669621
1041,AL,Crenshaw County,2018-22,1640,3885,2050,1573,17.92741583,42.46829908,22.40926979,17.1950153
1043,AL,Cullman County,1970,20137,6244,1405,1113,69.7,21.6,4.9,3.9
1043,AL,Cullman County,1980,19635,11353,3122,2671,53.4,30.9,8.5,7.3
