State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
00,000,US,United States,"37,039,804","36,359,662","37,719,946",12.7,12.5,13,"13,041,492","12,694,086","13,388,898",17.8,17.3,18.3,"8,430,886","8,142,299","8,719,473",16.2,15.6,16.7,"44,334","44,012","44,656","4,123,715","3,917,910","4,329,520",20.5,19.5,21.5
01,000,AL,Alabama,"717,483","675,992","758,974",16.1,15.1,17,"245,017","226,152","263,881",22.6,20.9,24.4,"160,787","143,834","177,740",20.7,18.5,22.9,"37,062","35,614","38,510","77,330","68,732","85,928",26.2,23.3,29.1
01,001,AL,Autauga County,"5,627","4,340","6,914",11.6,8.9,14.3,"2,041","1,518","2,565",16.3,12.1,20.5,"1,328",938,"1,718",14.4,10.2,18.6,"45,379","42,625","48,310",,,,,,
01,003,AL,Baldwin County,"16,089","12,434","19,744",10,7.7,12.3,"5,415","4,019","6,812",14.9,11.1,18.8,"3,521","2,484","4,558",13.3,9.4,17.3,"42,227","39,726","44,886",,,,,,
01,005,AL,Barbour County,"6,109","4,685","7,533",23.9,18.3,29.4,"2,024","1,494","2,555",31.1,22.9,39.2,"1,329",931,"1,727",28,19.6,36.4,"26,495","24,830","28,272",,,,,,
01,007,AL,Bibb County,"3,476","2,678","4,274",17.1,13.2,21,"1,211",895,"1,527",23.8,17.6,30,824,578,"1,070",22.2,15.5,28.8,"34,055","31,970","36,276",,,,,,
01,009,AL,Blount County,"6,844","5,279","8,408",12.4,9.5,15.2,"2,207","1,635","2,780",16.9,12.6,21.3,"1,534","1,082","1,986",16.1,11.4,20.9,"38,643","36,296","41,142",,,,,,
01,011,AL,Bullock County,"2,887","2,110","3,664",30.3,22.1,38.4,910,645,"1,175",35,24.8,45.2,658,442,874,35.7,23.9,47.4,"20,485","19,069","22,006",,,,,,
01,013,AL,Butler County,"4,310","3,309","5,310",21,16.1,25.8,"1,502","1,112","1,891",29.8,22,37.5,"1,007",707,"1,307",27.9,19.6,36.2,"27,244","25,560","29,040",,,,,,
01,015,AL,Calhoun County,"18,663","14,547","22,778",16.9,13.2,20.7,"6,171","4,629","7,713",24.6,18.4,30.7,"3,954","2,822","5,086",22.4,16,28.8,"34,813","32,768","36,984",,,,,,
01,017,AL,Chambers County,"6,030","4,638","7,422",17.2,13.2,21.2,"2,011","1,493","2,529",24,17.8,30.2,"1,329",935,"1,723",21.7,15.3,28.2,"30,573","28,688","32,582",,,,,,
01,019,AL,Cherokee County,"3,914","3,006","4,823",16.1,12.4,19.9,"1,229",909,"1,550",23.8,17.6,30,837,587,"1,087",22,15.5,28.6,"33,564","31,512","35,751",,,,,,
01,021,AL,Chilton County,"6,137","4,739","7,535",14.8,11.4,18.2,"2,232","1,654","2,809",22.4,16.6,28.2,"1,504","1,058","1,950",20.9,14.7,27.1,"35,507","33,351","37,803",,,,,,
01,023,AL,Choctaw County,"2,968","2,265","3,671",20.2,15.4,25,975,713,"1,236",27.9,20.4,35.4,658,457,859,25.8,17.9,33.7,"27,690","25,897","29,606",,,,,,
01,025,AL,Clarke County,"5,633","4,374","6,891",20.9,16.2,25.5,"2,050","1,532","2,567",28.8,21.6,36.1,"1,371",975,"1,767",26.5,18.9,34.2,"28,776","27,036","30,628",,,,,,
01,027,AL,Clay County,"1,913","1,464","2,362",13.9,10.6,17.2,597,438,756,20,14.7,25.3,396,275,517,17.9,12.5,23.4,"31,194","29,275","33,240",,,,,,
01,029,AL,Cleburne County,"2,116","1,631","2,601",14.7,11.3,18.1,670,496,845,20.9,15.5,26.3,461,324,598,19.3,13.6,25,"34,128","32,050","36,340",,,,,,
01,031,AL,Coffee County,"6,374","4,903","7,846",14.2,10.9,17.5,"2,237","1,659","2,815",21.2,15.7,26.7,"1,494","1,051","1,937",19.6,13.8,25.4,"37,066","34,813","39,464",,,,,,
01,033,AL,Colbert County,"7,963","6,174","9,752",14.7,11.4,18,"2,471","1,844","3,097",20.8,15.5,26,"1,752","1,232","2,272",19.7,13.9,25.6,"34,575","32,491","36,791",,,,,,
01,035,AL,Conecuh County,"3,044","2,333","3,755",23.1,17.7,28.5,"1,060",783,"1,337",33.4,24.7,42.1,714,500,928,31,21.7,40.2,"24,334","22,769","26,006",,,,,,
