county_fips,state_po,Name,"Poverty Estimate, All Ages","Poverty Percent, All Ages","Poverty Estimate, Age 0-17","Poverty Percent, Age 0-17","Poverty Estimate, Age 5-17 in Families","Poverty Percent, Age 5-17 in Families",Median Household Income,"Poverty Estimate, Age 0-4","Poverty Percent, Age 0-4"
0,US,United States,"39,108,422",13.2,"13,240,870",18.2,"8,549,526",16.5,"52,029","4,369,698",21.2
1000,AL,Alabama,"721,875",15.9,"244,661",22.1,"157,565",19.8,"42,586","82,291",27
1001,AL,Autauga County,"5,366",10.7,"1,944",14.9,"1,234",12.9,"51,622",,NA
1003,AL,Baldwin County,"17,110",9.9,"6,071",15.1,"3,961",13.7,"51,957",,NA
1005,AL,Barbour County,"6,399",24.5,"2,070",31.9,"1,371",28.8,"30,896",,NA
1007,AL,Bibb County,"3,753",18.5,"1,252",25,805,21.8,"41,076",,NA
1009,AL,Blount County,"7,461",13.1,"2,349",17.3,"1,535",15.5,"46,086",,NA
1011,AL,Bullock County,"3,074",33.6,947,38,595,35.2,"26,980",,NA
1013,AL,Butler County,"4,415",22.3,"1,469",30.9,952,28.1,"31,449",,NA
1015,AL,Calhoun County,"19,441",17.6,"5,908",22.9,"3,657",20.1,"39,997",,NA
1017,AL,Chambers County,"6,320",18.7,"2,102",26.8,"1,362",23.4,"35,614",,NA
1019,AL,Cherokee County,"4,264",17.7,"1,356",26.5,871,23,"38,028",,NA
1021,AL,Chilton County,"7,162",17.1,"2,442",24,"1,596",21.7,"40,292",,NA
1023,AL,Choctaw County,"3,177",22.9,905,29.3,588,25.6,"30,728",,NA
1025,AL,Clarke County,"5,334",20.6,"1,882",29,"1,270",26.1,"34,101",,NA
1027,AL,Clay County,"2,288",16.9,690,23.9,458,21.5,"33,032",,NA
1029,AL,Cleburne County,"2,167",14.8,741,22.3,484,20.2,"37,742",,NA
1031,AL,Coffee County,"7,139",15.2,"2,587",23,"1,602",19.9,"43,145",,NA
1033,AL,Colbert County,"6,861",12.7,"2,396",20.3,"1,617",18.6,"39,947",,NA
1035,AL,Conecuh County,"3,223",24.9,"1,043",36,709,33.3,"27,068",,NA
1037,AL,Coosa County,"1,677",15.7,506,23.6,347,21.4,"36,050",,NA
1039,AL,Covington County,"6,852",18.9,"2,098",25.8,"1,385",23.8,"33,773",,NA
